Record Length,2500,Points,x1,y1,,Record Length,2500,Points,x2,y2
,,,-40.64000025E-3,28.00000000,,,,,-40.64000025E-3,30.80000114
,,,-40.59999809E-3,28.00000000,,,,,-40.59999809E-3,30.80000114
,,,-40.55999964E-3,27.20000076,,,,,-40.55999964E-3,30.80000114
,,,-40.51999748E-3,26.39999962,,,,,-40.51999748E-3,30.39999962
,,,-40.47999904E-3,27.20000076,,,,,-40.47999904E-3,30.80000114
,,,-40.44000059E-3,27.20000076,,,,,-40.44000059E-3,30.80000114
,,,-40.39999843E-3,27.20000076,,,,,-40.39999843E-3,30.80000114
,,,-40.35999998E-3,27.20000076,,,,,-40.35999998E-3,30.39999962
,,,-40.31999782E-3,27.20000076,,,,,-40.31999782E-3,30.39999962
,,,-40.27999938E-3,26.39999962,,,,,-40.27999938E-3,30.39999962
,,,-40.24000093E-3,26.39999962,,,,,-40.24000093E-3,30.80000114
,,,-40.19999877E-3,26.39999962,,,,,-40.19999877E-3,30.39999962
,,,-40.16000032E-3,26.39999962,,,,,-40.16000032E-3,30.39999962
,,,-40.11999816E-3,26.39999962,,,,,-40.11999816E-3,30.39999962
,,,-40.07999972E-3,26.39999962,,,,,-40.07999972E-3,30.39999962
,,,-40.03999755E-3,25.60000038,,,,,-40.03999755E-3,30.39999962
,,,-39.99999911E-3,26.39999962,,,,,-39.99999911E-3,30.39999962
,,,-39.96000066E-3,26.39999962,,,,,-39.96000066E-3,30.39999962
,,,-39.91999850E-3,26.39999962,,,,,-39.91999850E-3,30.39999962
,,,-39.88000005E-3,26.39999962,,,,,-39.88000005E-3,30.39999962
,,,-39.83999789E-3,25.60000038,,,,,-39.83999789E-3,30.39999962
,,,-39.79999945E-3,26.39999962,,,,,-39.79999945E-3,30.39999962
,,,-39.76000100E-3,26.39999962,,,,,-39.76000100E-3,30.39999962
,,,-39.71999884E-3,26.39999962,,,,,-39.71999884E-3,30.00000000
,,,-39.68000039E-3,26.39999962,,,,,-39.68000039E-3,30.00000000
,,,-39.63999823E-3,26.39999962,,,,,-39.63999823E-3,30.00000000
,,,-39.59999979E-3,26.39999962,,,,,-39.59999979E-3,30.00000000
,,,-39.55999762E-3,26.39999962,,,,,-39.55999762E-3,30.00000000
,,,-39.51999918E-3,27.20000076,,,,,-39.51999918E-3,30.00000000
,,,-39.48000073E-3,27.20000076,,,,,-39.48000073E-3,30.00000000
,,,-39.43999857E-3,27.20000076,,,,,-39.43999857E-3,30.00000000
,,,-39.40000013E-3,28.00000000,,,,,-39.40000013E-3,30.00000000
,,,-39.35999796E-3,28.00000000,,,,,-39.35999796E-3,30.00000000
,,,-39.31999952E-3,28.00000000,,,,,-39.31999952E-3,29.60000038
,,,-39.27999735E-3,28.00000000,,,,,-39.27999735E-3,30.00000000
,,,-39.23999891E-3,28.00000000,,,,,-39.23999891E-3,30.00000000
,,,-39.20000046E-3,29.60000038,,,,,-39.20000046E-3,30.00000000
,,,-39.15999830E-3,29.60000038,,,,,-39.15999830E-3,29.60000038
,,,-39.11999986E-3,29.60000038,,,,,-39.11999986E-3,30.00000000
,,,-39.07999769E-3,30.39999962,,,,,-39.07999769E-3,30.00000000
,,,-39.03999925E-3,30.39999962,,,,,-39.03999925E-3,30.00000000
,,,-39.00000080E-3,30.39999962,,,,,-39.00000080E-3,29.60000038
,,,-38.95999864E-3,30.39999962,,,,,-38.95999864E-3,29.60000038
,,,-38.92000020E-3,30.39999962,,,,,-38.92000020E-3,29.60000038
,,,-38.87999803E-3,31.20000076,,,,,-38.87999803E-3,30.00000000
,,,-38.83999959E-3,30.39999962,,,,,-38.83999959E-3,30.00000000
,,,-38.79999742E-3,31.20000076,,,,,-38.79999742E-3,29.60000038
,,,-38.75999898E-3,32.00000000,,,,,-38.75999898E-3,30.00000000
,,,-38.72000054E-3,32.00000000,,,,,-38.72000054E-3,29.60000038
,,,-38.67999837E-3,32.00000000,,,,,-38.67999837E-3,29.60000038
,,,-38.63999993E-3,32.79999924,,,,,-38.63999993E-3,29.60000038
,,,-38.59999776E-3,32.79999924,,,,,-38.59999776E-3,29.60000038
,,,-38.55999932E-3,32.79999924,,,,,-38.55999932E-3,29.60000038
,,,-38.52000087E-3,32.79999924,,,,,-38.52000087E-3,29.60000038
,,,-38.47999871E-3,34.40000153,,,,,-38.47999871E-3,29.60000038
,,,-38.44000027E-3,33.60000229,,,,,-38.44000027E-3,29.60000038
,,,-38.39999810E-3,34.40000153,,,,,-38.39999810E-3,29.60000038
,,,-38.35999966E-3,34.40000153,,,,,-38.35999966E-3,29.60000038
,,,-38.31999749E-3,33.60000229,,,,,-38.31999749E-3,29.60000038
,,,-38.27999905E-3,34.40000153,,,,,-38.27999905E-3,29.60000038
,,,-38.24000061E-3,34.40000153,,,,,-38.24000061E-3,29.60000038
,,,-38.19999844E-3,34.40000153,,,,,-38.19999844E-3,29.60000038
,,,-38.16000000E-3,34.40000153,,,,,-38.16000000E-3,29.60000038
,,,-38.11999783E-3,35.20000076,,,,,-38.11999783E-3,29.60000038
,,,-38.07999939E-3,35.20000076,,,,,-38.07999939E-3,29.60000038
,,,-38.04000095E-3,35.20000076,,,,,-38.04000095E-3,29.60000038
,,,-37.99999878E-3,36.00000000,,,,,-37.99999878E-3,29.60000038
,,,-37.96000034E-3,36.00000000,,,,,-37.96000034E-3,29.20000076
,,,-37.91999817E-3,36.00000000,,,,,-37.91999817E-3,29.20000076
,,,-37.87999973E-3,36.79999924,,,,,-37.87999973E-3,29.60000038
,,,-37.83999756E-3,36.79999924,,,,,-37.83999756E-3,29.20000076
,,,-37.79999912E-3,37.60000229,,,,,-37.79999912E-3,29.60000038
,,,-37.76000068E-3,37.60000229,,,,,-37.76000068E-3,29.20000076
,,,-37.71999851E-3,37.60000229,,,,,-37.71999851E-3,29.20000076
,,,-37.68000007E-3,38.40000153,,,,,-37.68000007E-3,29.20000076
,,,-37.63999790E-3,39.20000076,,,,,-37.63999790E-3,29.20000076
,,,-37.59999946E-3,39.20000076,,,,,-37.59999946E-3,29.20000076
,,,-37.56000102E-3,40.00000000,,,,,-37.56000102E-3,29.20000076
,,,-37.51999885E-3,40.00000000,,,,,-37.51999885E-3,29.20000076
,,,-37.48000041E-3,40.79999924,,,,,-37.48000041E-3,28.80000114
,,,-37.43999824E-3,42.40000153,,,,,-37.43999824E-3,28.80000114
,,,-37.39999980E-3,42.40000153,,,,,-37.39999980E-3,28.80000114
,,,-37.35999763E-3,43.20000076,,,,,-37.35999763E-3,28.80000114
,,,-37.31999919E-3,43.20000076,,,,,-37.31999919E-3,28.80000114
,,,-37.28000075E-3,43.20000076,,,,,-37.28000075E-3,28.80000114
,,,-37.23999858E-3,42.40000153,,,,,-37.23999858E-3,28.80000114
,,,-37.20000014E-3,43.20000076,,,,,-37.20000014E-3,28.80000114
,,,-37.15999797E-3,42.40000153,,,,,-37.15999797E-3,29.20000076
,,,-37.11999953E-3,41.60000229,,,,,-37.11999953E-3,28.80000114
,,,-37.08000109E-3,40.79999924,,,,,-37.08000109E-3,28.80000114
,,,-37.03999892E-3,40.00000000,,,,,-37.03999892E-3,28.39999962
,,,-37.00000048E-3,40.00000000,,,,,-37.00000048E-3,28.80000114
,,,-36.95999831E-3,38.40000153,,,,,-36.95999831E-3,28.80000114
,,,-36.91999987E-3,36.79999924,,,,,-36.91999987E-3,28.80000114
,,,-36.87999770E-3,36.00000000,,,,,-36.87999770E-3,28.80000114
,,,-36.83999926E-3,36.00000000,,,,,-36.83999926E-3,28.39999962
,,,-36.80000082E-3,34.40000153,,,,,-36.80000082E-3,28.39999962
,,,-36.75999865E-3,33.60000229,,,,,-36.75999865E-3,28.39999962
